Car_Model,Year,Mileage,Engine_CC,Fuel_Type,Brand,Price
Swift,2018,45000,1200,Petrol,Maruti,550000
City,2019,30000,1500,Petrol,Honda,850000
Creta,2020,25000,1600,Diesel,Hyundai,1200000
Corolla,2017,60000,1800,Petrol,Toyota,700000
Nexon,2021,20000,1200,Petrol,Tata,900000
Verna,2018,50000,1600,Diesel,Hyundai,750000
Baleno,2020,22000,1200,Petrol,Maruti,700000
Fortuner,2019,35000,2800,Diesel,Toyota,2500000
i20,2017,65000,1200,Petrol,Hyundai,450000
Civic,2018,40000,1800,Petrol,Honda,950000
Polo,2016,70000,1200,Petrol,Volkswagen,400000
XUV500,2019,45000,2200,Diesel,Mahindra,1100000
Seltos,2021,18000,1500,Diesel,Kia,1400000
Duster,2017,55000,1500,Diesel,Renault,500000
Ecosport,2018,48000,1500,Petrol,Ford,650000
Kiger,2022,10000,1000,Petrol,Renault,850000
Thar,2021,15000,2200,Diesel,Mahindra,1500000
Compass,2020,28000,2000,Diesel,Jeep,1800000
Venue,2019,35000,1200,Petrol,Hyundai,750000
WagonR,2016,80000,1000,Petrol,Maruti,300000
Amaze,2018,52000,1500,Diesel,Honda,600000
Harrier,2020,24000,2000,Diesel,Tata,1600000
Jazz,2017,60000,1200,Petrol,Honda,500000
Alto,2015,90000,800,Petrol,Maruti,250000
Scorpio,2019,40000,2200,Diesel,Mahindra,1300000
Rapid,2018,55000,1600,Petrol,Skoda,650000
Ignis,2020,20000,1200,Petrol,Maruti,600000
Kushaq,2022,8000,1500,Petrol,Skoda,1400000
Tigor,2019,45000,1200,Petrol,Tata,500000
Figo,2017,65000,1200,Petrol,Ford,350000
Creta,2022,12000,1600,Diesel,Hyundai,1700000
City,2021,15000,1500,Petrol,Honda,1300000
Innova,2019,50000,2500,Diesel,Toyota,1500000
Ertiga,2020,30000,1500,Petrol,Maruti,950000
Hector,2021,18000,1500,Petrol,MG,1600000
Punch,2022,7000,1200,Petrol,Tata,800000
Sonet,2021,16000,1200,Petrol,Kia,900000
Terrano,2016,70000,1500,Diesel,Nissan,450000
Vitara,2018,50000,1600,Petrol,Maruti,700000
Q3,2019,35000,2000,Diesel,Audi,2200000
A4,2020,25000,2000,Petrol,Audi,3500000
BMW3,2018,45000,2000,Diesel,BMW,3000000
MercedesC,2019,30000,2000,Petrol,Mercedes,4000000
X1,2021,15000,2000,Diesel,BMW,4200000
GLS,2020,20000,3000,Diesel,Mercedes,7500000
Defender,2022,5000,3000,Diesel,LandRover,9000000
Jimny,2023,3000,1500,Petrol,Maruti,1300000
Magnite,2021,22000,1000,Petrol,Nissan,700000
Taigun,2022,9000,1500,Petrol,Volkswagen,1500000
Carnival,2020,25000,2200,Diesel,Kia,2200000
