Station_ID,City,Vehicle_Type,Charging_Time,Energy_Consumed,Cost,Charging_Type
S1001,Delhi,Car,45,22.5,5.63,Fast
S1002,Mumbai,Bike,30,12,3,Normal
S1003,Bengaluru,SUV,90,48.5,12.13,Fast
S1004,Chennai,Bus,120,65.2,16.3,Normal
S1005,Hyderabad,Car,60,30.4,7.6,Fast
S1006,Delhi,SUV,80,42.6,10.65,Normal
S1007,Mumbai,Car,50,26.8,6.7,Fast
S1008,Bengaluru,Bike,35,15.5,3.88,Normal
S1009,Chennai,Bus,150,75.3,18.83,Fast
S1010,Hyderabad,SUV,95,51.4,12.85,Normal
S1011,Delhi,Car,55,28.2,7.05,Fast
S1012,Mumbai,Bus,135,68.9,17.23,Normal
S1013,Bengaluru,SUV,100,53.7,13.43,Fast
S1014,Chennai,Bike,40,18.2,4.55,Normal
S1015,Hyderabad,Car,70,35.5,8.88,Fast
S1016,Delhi,Bus,160,78,19.5,Fast
S1017,Mumbai,SUV,85,45.8,11.45,Normal
S1018,Bengaluru,Car,65,32.1,8.03,Fast
S1019,Chennai,Bike,28,10.6,2.65,Normal
S1020,Hyderabad,Bus,140,72.4,18.1,Fast
S1021,Delhi,Car,58,29.5,7.38,Normal
S1022,Mumbai,Bike,33,14.8,3.7,Fast
S1023,Bengaluru,SUV,110,57.3,14.33,Normal
S1024,Chennai,Car,62,31,7.75,Fast
S1025,Hyderabad,Bus,145,74.6,18.65,Normal
S1026,Delhi,Bike,27,11.2,2.8,Fast
S1027,Mumbai,SUV,92,49.8,12.45,Fast
S1028,Bengaluru,Car,75,38.4,9.6,Normal
S1029,Chennai,Bus,155,76.8,19.2,Fast
S1030,Hyderabad,Bike,36,16.5,4.13,Normal
S1031,Delhi,SUV,98,52.1,13.03,Fast
S1032,Mumbai,Car,52,27.4,6.85,Normal
S1033,Bengaluru,Bus,138,70.2,17.55,Fast
S1034,Chennai,SUV,88,46.7,11.68,Normal
S1035,Hyderabad,Car,68,34.9,8.73,Fast
S1036,Delhi,Bike,29,12.5,3.13,Normal
S1037,Mumbai,Bus,148,73.5,18.38,Fast
S1038,Bengaluru,SUV,104,55.6,13.9,Normal
S1039,Chennai,Car,57,28.9,7.23,Fast
S1040,Hyderabad,Bike,31,13.7,3.43,Normal
S1041,Delhi,Bus,165,79.8,19.95,Fast
S1042,Mumbai,SUV,86,44.9,11.23,Normal
S1043,Bengaluru,Car,61,30.8,7.7,Fast
S1044,Chennai,Bike,38,17.4,4.35,Normal
S1045,Hyderabad,Bus,142,71.6,17.9,Fast
S1046,Delhi,SUV,93,50.2,12.55,Normal
S1047,Mumbai,Car,54,27.9,6.98,Fast
S1048,Bengaluru,Bike,34,15.1,3.78,Normal
S1049,Chennai,SUV,108,58.4,14.6,Fast
S1050,Hyderabad,Car,66,33.7,8.43,Normal
S1051,Delhi,Car,59,30.2,7.55,Fast
S1052,Mumbai,SUV,97,51.8,12.95,Normal
S1053,Bengaluru,Bike,32,14.3,3.58,Fast
S1054,Chennai,Bus,150,74.5,18.63,Normal
S1055,Hyderabad,Car,63,31.7,7.93,Fast
S1056,Delhi,Bike,26,10.9,2.73,Normal
S1057,Mumbai,Bus,144,72.1,18.03,Fast
S1058,Bengaluru,SUV,101,54.2,13.55,Normal
S1059,Chennai,Car,56,29.3,7.33,Fast
S1060,Hyderabad,Bike,35,16.2,,Normal
S1061,Delhi,Bus,162,80,20,Fast
S1062,Mumbai,Car,51,26.7,6.68,Normal
S1063,Bengaluru,SUV,109,57.8,14.45,Fast
S1064,Chennai,Bike,39,17.8,,Normal
S1065,Hyderabad,Bus,146,73,18.25,Fast
S1066,Delhi,SUV,89,47.1,11.78,Normal
S1067,Mumbai,Car,64,32.6,8.15,Fast
S1068,Bengaluru,Bike,30,13.2,3.3,Normal
S1069,Chennai,Bus,154,77.4,19.35,Fast
S1070,Hyderabad,SUV,94,49.5,12.38,Normal
S1071,Delhi,Car,60,30.9,7.73,Fast
S1072,Mumbai,Bike,33,14.9,,Normal
S1073,Bengaluru,Bus,141,71.3,17.83,Fast
S1074,Chennai,SUV,90,48.2,12.05,Normal
S1075,Hyderabad,Car,67,34.4,8.6,Fast
S1076,Delhi,Bike,28,11.8,2.95,Normal
S1077,Mumbai,Bus,152,,,Fast
S1078,Bengaluru,SUV,106,56.4,14.1,Normal
S1079,Chennai,Car,58,29.8,7.45,Fast
S1080,Hyderabad,Bike,37,16.9,4.23,Normal
S1081,Delhi,Bus,158,78.6,19.65,Fast
S1082,Mumbai,SUV,87,46.5,11.63,Normal
S1083,Bengaluru,Car,69,35.2,8.8,Fast
S1084,Chennai,Bike,41,18.7,4.68,Normal
S1085,Hyderabad,Bus,149,74.2,18.55,Fast
S1086,Delhi,SUV,96,50.9,12.73,Normal
S1087,Mumbai,Car,53,27.6,6.9,Fast
S1088,Bengaluru,Bike,34,15,3.75,Normal
S1089,Chennai,Bus,147,73.8,18.45,Fast
S1090,Hyderabad,SUV,102,55,13.75,Normal
S1091,Delhi,Car,57,,7.28,Fast
S1092,Mumbai,Bike,31,13.5,3.38,Normal
S1093,Bengaluru,Bus,143,72,18,Fast
S1094,Chennai,SUV,91,48.8,12.2,Normal
S1095,Hyderabad,Car,65,33,8.25,Fast
S1096,Delhi,Bike,29,,3.03,Normal
S1097,Mumbai,Bus,151,75,18.75,Fast
S1098,Bengaluru,SUV,103,55.7,13.93,Normal
S1099,Chennai,Car,62,31.5,7.88,Fast
S1100,Hyderabad,Bike,36,16,4,Normal
