Employee_ID,Age,Experience_Years,Education,Department,Working_Hours,Salary
E001,25,2,Bachelor,IT,8,45000
E002,30,5,Master,Finance,9,65000
E003,28,4,Bachelor,HR,8,52000
E004,35,10,Master,IT,9,90000
E005,40,15,PhD,Research,7,120000
E006,26,3,Bachelor,Marketing,8,48000
E007,32,7,Master,IT,9,75000
E008,29,5,Bachelor,Sales,8,58000
E009,45,20,PhD,Research,7,150000
E010,38,12,Master,Finance,9,95000
E011,24,1,Bachelor,HR,8,40000
E012,31,6,Bachelor,IT,8,68000
E013,36,11,Master,Marketing,9,88000
E014,42,18,PhD,IT,8,140000
E015,27,3,Bachelor,Finance,8,50000
E016,33,8,Master,Sales,9,72000
E017,37,13,Master,IT,8,100000
E018,41,17,PhD,Research,7,145000
E019,23,1,Bachelor,Marketing,8,38000
E020,34,9,Master,Finance,9,82000
E021,39,14,PhD,IT,8,125000
E022,28,4,Bachelor,Sales,8,55000
E023,30,6,Master,HR,8,70000
E024,44,19,PhD,Research,7,155000
E025,26,2,Bachelor,IT,9,46000
E026,35,10,Master,Finance,8,92000
E027,43,16,PhD,IT,9,135000
E028,29,5,Bachelor,Marketing,8,57000
E029,32,7,Master,Sales,9,76000
E030,46,22,PhD,Research,7,160000
E031,25,2,Bachelor,HR,8,43000
E032,36,12,Master,IT,9,98000
E033,40,15,PhD,Finance,8,130000
E034,27,3,Bachelor,Sales,8,49000
E035,31,6,Master,Marketing,9,73000
E036,38,13,Master,IT,8,105000
E037,47,23,PhD,Research,7,170000
E038,33,8,Bachelor,Finance,8,78000
E039,28,4,Bachelor,HR,8,51000
E040,42,18,Master,IT,9,135000
E041,37,12,Master,Sales,8,99000
E042,45,20,PhD,Finance,7,150000
E043,24,1,Bachelor,Marketing,8,39000
E044,34,9,Master,HR,8,85000
E045,41,16,PhD,IT,9,140000
E046,30,5,Bachelor,Sales,8,60000
E047,36,11,Master,Finance,9,93000
E048,48,25,PhD,Research,7,180000
E049,29,4,Bachelor,IT,8,56000
E050,39,14,Master,Marketing,9,110000
