Area,Bedrooms,Bathrooms,City,Price
750,2,1,New York,250000
900,2,2,Chicago,285000
1100,3,2,Dallas,340000
1400,3,2,Houston,395000
1600,4,3,Phoenix,450000
1800,4,3,Miami,520000
950,2,2,Seattle,310000
1200,3,2,Denver,360000
1300,3,2,Atlanta,375000
2000,4,3,Boston,620000
850,2,1,Orlando,265000
1700,4,2,Charlotte,415000
1450,3,2,Nashville,405000
2100,5,3,Austin,575000
1550,3,2,Portland,445000
980,2,2,San Diego,495000
1250,3,2,Las Vegas,335000
2200,5,4,San Jose,890000
1900,4,3,Tampa,470000
1000,2,2,Minneapolis,295000
1350,3,2,Columbus,350000
1750,4,3,Indianapolis,410000
2400,5,4,Los Angeles,980000
800,2,1,Detroit,210000
1500,3,2,Kansas City,330000
1650,4,2,Raleigh,430000
1150,3,2,Salt Lake City,390000
2050,4,3,Sacramento,560000
900,2,1,St. Louis,245000
1400,3,2,Pittsburgh,365000
2300,5,4,San Francisco,1200000
1850,4,3,Jacksonville,440000
950,2,2,Cincinnati,275000
1050,2,2,Cleveland,260000
1950,4,3,Richmond,460000
2500,5,4,Irvine,990000
780,2,1,Buffalo,220000
1680,4,2,Louisville,385000
1320,3,2,Omaha,345000
1520,3,2,Albuquerque,355000
1760,4,3,Tucson,400000
890,2,1,Milwaukee,255000
1430,3,2,Oklahoma City,370000
2150,5,3,Fresno,510000
980,2,2,Virginia Beach,305000
1240,3,2,New Orleans,340000
1875,4,3,Memphis,425000
1580,3,2,Spokane,395000
2020,4,3,Reno,545000
1120,3,2,Boise,365000
