Tourist_ID,Destination,Travel_Type,Traveler_Gender,Season,Age,Trip_Duration_Days,Travel_Cost
T001,Paris,International,Male,Summer,28,7,1500
T002,Goa,Domestic,Female,Winter,25,5,600
T003,Dubai,International,Male,Summer,35,10,2200
T004,Kerala,Domestic,Female,Monsoon,31,6,800
T005,London,International,Male,Spring,42,12,3000
T006,Rajasthan,Domestic,Female,Winter,29,8,900
T007,Singapore,International,Male,Summer,38,9,2500
T008,Manali,Domestic,Female,Winter,24,6,700
T009,Bangkok,International,Male,Spring,33,7,1800
T010,Kashmir,Domestic,Female,Summer,27,5,750
T011,Paris,International,Male,Summer,40,11,2800
T012,Goa,Domestic,Female,Winter,22,4,500
T013,Dubai,International,Male,Spring,36,8,2300
T014,Kerala,Domestic,Female,Monsoon,34,7,950
T015,London,International,Male,Summer,45,14,3500
T016,Rajasthan,Domestic,Female,Winter,30,6,850
T017,Singapore,International,Male,Spring,39,10,2700
T018,Manali,Domestic,Female,Winter,26,5,650
T019,Bangkok,International,Male,Summer,32,9,2000
T020,Kashmir,Domestic,Female,Spring,28,7,1000
T021,Paris,International,Female,Summer,37,12,3200
T022,Goa,Domestic,Male,Winter,23,5,550
T023,Dubai,International,Female,Spring,41,11,2900
T024,Kerala,Domestic,Male,Monsoon,35,6,850
T025,London,International,Female,Summer,44,13,3400
T025,London,International,Female,Summer,44,13,3400
T026,Rajasthan,Domestic,Male,Winter,29,8,950
T027,Singapore,International,Female,Spring,36,9,2600
T028,Manali,Domestic,Male,Winter,25,6,720
T029,Bangkok,International,Female,Summer,31,8,1900
T030,Kashmir,Domestic,Male,Spring,33,7,1100
T031,Paris,International,Female,Summer,48,15,3800
T032,Goa,Domestic,Male,Winter,27,4,480
T033,Dubai,International,Female,Spring,39,10,2400
T034,Kerala,Domestic,Male,Monsoon,30,5,700
T035,London,International,Female,Summer,46,14,3600
T036,Rajasthan,Domestic,Male,Winter,34,7,880
T037,Singapore,International,Female,Spring,42,12,3100
T038,Manali,Domestic,Male,Winter,21,5,600
T039,Bangkok,International,Female,Summer,37,9,2100
T040,Kashmir,Domestic,Male,Spring,29,6,900
T041,Paris,International,Female,Summer,43,13,3300
T042,Goa,Domestic,Male,Winter,26,5,650
T043,Dubai,International,Female,Spring,38,11,2700
T044,Kerala,Domestic,Male,Monsoon,32,6,820
T045,London,International,Female,Summer,50,16,4000
T046,Rajasthan,Domestic,Male,Winter,28,8,920
T047,Singapore,International,Female,Spring,40,10,2800
T048,Manali,Domestic,Male,Winter,24,5,680
T049,Bangkok,International,Female,Summer,35,9,2200
T050,Kashmir,Domestic,Male,Spring,31,,
T051,New York,International,Male,Summer,36,9,2800
T052,Agra,Domestic,Female,Winter,24,3,450
T053,Maldives,International,Female,Spring,32,8,2600
T054,Ooty,Domestic,Male,Monsoon,29,5,700
T055,Switzerland,International,Female,Winter,45,14,4200
T056,Jaipur,Domestic,Male,Summer,33,6,850
T057,Malaysia,International,Female,Spring,38,10,2400
T058,Shimla,Domestic,Male,Winter,26,4,650
T059,Turkey,International,Female,Autumn,41,11,3000
T060,Varanasi,Domestic,Male,Summer,35,5,600
T061,Australia,International,Female,Spring,37,15,4500
T062,Darjeeling,Domestic,Female,Winter,23,6,750
T063,Canada,International,Male,Summer,44,13,3900
T064,Udaipur,Domestic,Female,Autumn,31,7,950
T065,Japan,International,Male,Spring,39,12,3600
T066,Rishikesh,Domestic,Female,Monsoon,27,5,700
T067,Greece,International,Male,Summer,46,14,4100
T068,Mysore,Domestic,Female,Winter,28,4,550
T069,Thailand,International,Male,Spring,34,9,2100
T070,Amritsar,Domestic,Female,Summer,30,3,500
T071,Italy,International,Male,Autumn,42,13,3800
T072,Pondicherry,Domestic,Female,Summer,25,5,650
T073,France,International,Female,Spring,36,10,2900
T074,Coorg,Domestic,Male,Monsoon,32,6,800
T075,New Zealand,International,Female,Winter,43,16,4700
T075,New Zealand,International,Female,Winter,43,16,4700
T076,Hyderabad,Domestic,Male,Summer,29,4,620
T077,Indonesia,International,Female,Spring,35,9,2300
T078,Leh,Domestic,Male,Summer,27,7,1200
T079,Germany,International,Female,Autumn,40,12,3500
T080,Kolkata,Domestic,Male,Winter,34,5,700
T081,USA,International,Female,Summer,48,17,5200
T082,Ahmedabad,Domestic,Male,Spring,26,4,580
T083,Spain,International,Female,Autumn,37,11,3200
T084,Kodaikanal,Domestic,Male,Monsoon,31,6,780
T085,Egypt,International,Female,Winter,44,13,3700
T086,Lucknow,Domestic,Male,Summer,28,5,650
T087,Brazil,International,Female,Spring,39,14,4300
T088,Nainital,Domestic,Male,Winter,22,4,520
T089,Russia,International,Female,Autumn,47,15,4600
T090,Chennai,Domestic,Male,Summer,33,6,850
T091,Portugal,International,Female,Spring,41,12,3400
T092,Surat,Domestic,Male,Winter,30,3,480
T093,South Korea,International,Female,Summer,36,10,2700
T094,Gangtok,Domestic,Male,Monsoon,29,7,1000
T095,Norway,International,Female,Winter,50,16,5000
T096,Pune,Domestic,Male,Spring,27,5,720
T097,Mexico,International,Female,Autumn,38,11,3100
T098,Jaisalmer,Domestic,Male,Winter,35,6,900
T099,Singapore,International,Female,Summer,34,8,2500
T100,Kerala,Domestic,Male,Monsoon,40,,
