Movie_ID,Genre,Budget_Million,Duration_Min,Rating,Release_Year,Collection_Million
M001,Action,120,150,8.5,2020,450
M002,Comedy,50,120,7.2,2019,180
M003,Drama,40,135,8,2021,220
M004,Action,200,160,9,2022,800
M005,Horror,30,110,6.8,2018,150
M006,Romance,25,125,7.5,2020,170
M007,Sci-Fi,180,155,8.8,2023,750
M008,Thriller,70,140,7.9,2019,300
M009,Animation,100,130,8.6,2022,600
M010,Action,150,145,8.3,2021,550
M011,Comedy,45,115,7,2018,160
M012,Drama,60,150,8.2,2023,280
M013,Action,220,170,9.1,2024,900
M014,Horror,35,105,6.5,2019,140
M015,Sci-Fi,190,165,8.9,2020,780
M016,Romance,30,120,7.4,2021,200
M017,Thriller,80,145,8.1,2022,350
M018,Animation,130,135,8.7,2023,650
M019,Action,170,155,8.6,2020,620
M020,Comedy,55,125,7.3,2022,210
M021,Drama,75,145,8.4,2024,400
M022,Horror,40,115,6.9,2021,180
M023,Sci-Fi,250,175,9.2,2024,1000
M024,Romance,35,130,7.6,2019,190
M025,Thriller,90,150,8,2023,420
M026,Animation,110,125,8.5,2021,520
M027,Action,140,150,8.2,2018,480
M028,Comedy,60,118,7.1,2020,230
M029,Drama,85,155,8.3,2022,370
M030,Horror,45,100,6.7,2023,170
M031,Sci-Fi,210,160,9,2022,850
M032,Romance,40,135,7.8,2024,250
M033,Thriller,100,145,8.2,2020,450
M034,Animation,150,140,8.9,2024,800
M035,Action,190,165,8.8,2023,720
M036,Comedy,70,130,7.5,2021,260
M037,Drama,95,150,8.6,2023,430
M038,Horror,55,120,7,2022,210
M039,Sci-Fi,230,170,9.3,2025,1100
M040,Romance,45,125,7.7,2023,280
M041,Thriller,120,155,8.5,2024,600
M042,Animation,160,145,9,2025,900
M043,Action,250,180,9.4,2025,1200
M044,Comedy,65,115,7.2,2024,240
M045,Drama,110,160,8.7,2025,550
M046,Horror,60,125,7.1,2025,260
M047,Sci-Fi,280,180,9.5,2025,1300
M048,Romance,50,130,7.9,2025,320
M049,Thriller,140,165,8.8,2025,700
M050,Animation,200,150,9.2,2025,1000
