Booking_ID,Hotel_Type,Stay_Days,Room_Price,Guests,City
B001,Luxury,3,8500,2,Delhi
B002,Budget,2,2500,1,Mumbai
B003,Resort,5,12000,4,Goa
B004,Business,4,6500,2,Bangalore
B005,Luxury,7,15000,3,Jaipur
B006,Budget,1,1800,1,Delhi
B007,Resort,6,11000,5,Goa
B008,Business,3,5500,2,Pune
B009,Luxury,4,9000,3,Mumbai
B010,Budget,2,2200,2,Chennai
B011,Resort,8,14000,4,Goa
B012,Business,5,7000,3,Delhi
B013,Luxury,6,13000,2,Bangalore
B014,Budget,3,3000,1,Jaipur
B015,Resort,4,10500,3,Goa
B016,Business,2,5000,2,Mumbai
B017,Luxury,5,12500,4,Delhi
B018,Budget,1,2000,1,Pune
B019,Resort,7,13500,5,Goa
B020,Business,3,6000,2,Chennai
B021,Luxury,8,16000,4,Mumbai
B022,Budget,2,2700,2,Delhi
B023,Resort,5,11500,3,Jaipur
B024,Business,6,7500,4,Bangalore
B025,Luxury,4,9500,2,Goa
B026,Budget,3,3200,1,Mumbai
B027,Resort,6,12500,5,Goa
B028,Business,4,6800,3,Delhi
B029,Luxury,7,14500,4,Pune
B030,Budget,2,2400,2,Chennai
B031,Resort,3,10000,2,Goa
B032,Business,5,7200,3,Mumbai
B033,Luxury,6,13500,4,Delhi
B034,Budget,1,1900,1,Jaipur
B035,Resort,8,15000,5,Goa
B036,Business,4,6200,2,Bangalore
B037,Luxury,5,11800,3,Mumbai
B038,Budget,3,2800,2,Delhi
B039,Resort,7,13800,4,Goa
B040,Business,2,5200,1,Pune
B041,Luxury,4,9800,2,Chennai
B042,Budget,6,3500,3,Delhi
B043,Resort,5,12000,4,Goa
B044,Business,3,5800,2,Mumbai
B045,Luxury,7,15500,5,Bangalore
B046,Budget,2,2600,1,Jaipur
B047,Resort,6,12800,4,Goa
B048,Business,5,7100,3,Delhi
B049,Luxury,3,8800,2,Mumbai
B050,Budget,4,3300,2,Pune
B051,Resort,8,14500,5,Goa
B052,Business,2,4800,1,Chennai
B053,Luxury,6,14000,4,Delhi
B054,Budget,3,2900,2,Mumbai
B055,Resort,5,11800,3,Goa
B056,Business,7,8000,4,Bangalore
B057,Luxury,4,10000,2,Jaipur
B058,Budget,1,1700,1,Delhi
B059,Resort,6,13000,5,Goa
B060,Business,3,6000,2,Pune
B061,Luxury,5,12500,3,Mumbai
B062,Budget,2,2300,2,Chennai
B063,Resort,7,15000,4,Goa
B064,Business,4,6700,3,Delhi
B065,Luxury,8,16500,5,Bangalore
B066,Budget,3,3100,1,Jaipur
B067,Resort,5,11200,3,Goa
B068,Business,6,7600,4,Mumbai
B069,Luxury,4,9200,2,Delhi
B070,Budget,2,2500,1,Pune
B071,Resort,8,15500,5,Goa
B072,Business,3,5900,2,Chennai
B073,Luxury,6,13800,4,Mumbai
B074,Budget,5,3600,3,Delhi
B075,Resort,4,10800,2,Goa
B076,Business,7,8200,4,Bangalore
B077,Luxury,3,8700,2,Jaipur
B078,Budget,1,2000,1,Mumbai
B079,Resort,6,13200,5,Goa
B080,Business,4,6400,3,Delhi
B081,Luxury,5,12700,4,Pune
B082,Budget,2,2600,2,Chennai
B083,Resort,7,14800,5,Goa
B084,Business,3,5700,2,Mumbai
B085,Luxury,6,14200,3,Delhi
B086,Budget,4,3400,2,Jaipur
B087,Resort,5,11600,4,Goa
B088,Business,8,8500,5,Bangalore
B089,Luxury,3,8900,2,Mumbai
B090,Budget,2,2200,1,Delhi
B091,Resort,6,13500,4,Goa
B092,Business,5,7300,3,Pune
B093,Luxury,7,15200,5,Chennai
B094,Budget,1,1800,1,Jaipur
B095,Resort,4,10500,2,Goa
B096,Business,6,7800,4,Delhi
B097,Luxury,5,12800,3,Mumbai
B098,Budget,3,3000,2,Bangalore
B099,Resort,8,16000,5,Goa
B100,Business,4,6600,3,Pune
B101,Luxury,6,14500,4,Delhi
B102,Budget,2,2400,2,Mumbai
B103,Resort,5,12000,3,Goa
B104,Business,4,6800,2,Bangalore
B105,Luxury,7,15800,5,Jaipur
B106,Budget,3,3100,1,Chennai
B107,Resort,6,13500,4,Goa
B108,Business,2,5200,2,Pune
B109,Luxury,5,13000,3,Mumbai
B110,Budget,1,1900,1,Delhi
B111,Resort,8,15500,5,Goa
B112,Business,6,7600,4,Bangalore
B113,Luxury,4,9800,2,Chennai
B114,Budget,3,2800,2,Jaipur
B115,Resort,7,14200,4,Goa
B116,Business,5,7200,3,Mumbai
B117,Luxury,8,16500,5,Delhi
B118,Budget,2,2300,1,Pune
B119,Resort,4,11000,3,Goa
B120,Business,3,6000,2,Bangalore
B121,Luxury,6,13800,4,Mumbai
B122,Budget,1,1800,1,Chennai
B123,Resort,5,12500,3,Goa
B124,Business,7,8200,5,Delhi
B125,Luxury,4,9500,2,Jaipur
B126,Budget,3,3200,2,Mumbai
B127,Resort,6,13000,4,Goa
B128,Business,5,7400,3,Pune
B129,Luxury,7,15000,5,Bangalore
B130,Budget,2,2600,1,Delhi
B131,Resort,8,16000,5,Goa
B132,Business,4,6500,2,Chennai
B133,Luxury,5,12800,3,Mumbai
B134,Budget,6,3600,4,Jaipur
B135,Resort,3,10000,2,Goa
B136,Business,7,8500,4,Delhi
B137,Luxury,4,10200,3,Bangalore
B138,Budget,2,2200,1,Pune
B139,Resort,5,11800,4,Goa
B140,Business,6,7800,3,Mumbai
B141,Luxury,8,17000,5,Delhi
B142,Budget,3,3000,2,Chennai
B143,Resort,7,14500,4,Goa
B144,Business,4,6900,2,Jaipur
B145,Luxury,5,13200,3,Mumbai
B146,Budget,1,2000,1,Bangalore
B147,Resort,6,13600,5,Goa
B148,Business,3,5700,2,Delhi
B149,Luxury,7,15500,4,Pune
B150,Budget,2,2500,1,Chennai
B151,Resort,8,16200,5,Goa
B152,Business,5,7500,3,Mumbai
B153,Luxury,6,14000,4,Delhi
B154,Budget,4,3300,2,Jaipur
B155,Resort,5,12200,3,Goa
B156,Business,7,8300,5,Bangalore
B157,Luxury,3,9000,2,Mumbai
B158,Budget,2,2100,1,Delhi
B159,Resort,6,13400,4,Goa
B160,Business,4,6700,3,Pune
B161,Luxury,5,12900,3,Chennai
B162,Budget,3,2900,2,Bangalore
B163,Resort,7,14800,5,Goa
B164,Business,6,7900,4,Delhi
B165,Luxury,8,16800,5,Mumbai
B166,Budget,1,1700,1,Jaipur
B167,Resort,4,10800,2,Goa
B168,Business,5,7100,3,Chennai
B169,Luxury,6,14200,4,Bangalore
B170,Budget,2,2400,2,Pune
B171,Resort,8,15800,5,Goa
B172,Business,3,5900,2,Mumbai
B173,Luxury,7,15200,4,Delhi
B174,Budget,4,3500,3,Jaipur
B175,Resort,5,11900,3,Goa
B176,Business,6,7700,4,Bangalore
B177,Luxury,4,9700,2,Chennai
B178,Budget,3,3100,1,Delhi
B179,Resort,7,15000,5,Goa
B180,Business,5,7300,3,Pune
